x,y
89.37478,134.77345
209.84448,535.2916
444.99747,461.76434
60.74295,281.60703
485.60794,572.8655
150.66064,469.0405
317.86935,305.60684
280.59476,74.9126
422.56702,261.9903
395.30136,185.27415
583.0919,153.62112
310.3046,357.4877
74.990524,245.72028
388.05984,180.40764
206.67844,533.0935
371.26263,280.8436
409.82123,91.61882
85.49652,367.72073
374.90353,424.13052
475.50366,124.14386
46.535362,500.1555
446.1743,297.54187
251.85255,212.10187
207.10152,216.2132
486.11102,220.38907
143.81683,315.77252
358.7684,317.69785
594.5738,101.962494
281.89594,535.93896
443.11716,139.65225
415.93762,573.4929
248.97311,546.0961
65.2845,306.4429
140.50923,206.03206
111.87909,534.4593
564.8024,315.20718
397.51013,215.13123
104.05229,317.5399
507.37384,472.1817
572.1026,21.361828
196.00983,282.32352
47.162567,375.8909
243.39749,208.57597
588.0224,446.01254
179.71455,57.588814
340.26404,349.21045
2.2888184,194.72255
544.8894,292.57526
192.26862,199.98404
102.51446,471.60684
570.51447,533.977
369.26538,39.24569
595.5787,596.2205
122.60009,18.34588
369.15936,185.82706
252.67607,280.62326
578.2422,350.78406
333.178,38.849365
254.79973,568.0196
89.67014,457.45273
394.30328,109.9661
407.8803,362.3533
148.68571,199.28398
162.57005,178.28618
237.43279,453.44257
162.8816,417.4322
426.18637,93.53617
324.7406,235.10982
264.02637,102.46578
26.865828,326.71057
191.22205,328.74966
475.41086,506.97284
405.86526,452.91635
493.81552,151.95135
371.93298,569.73553
29.046106,231.39696
258.88052,444.38953
392.38184,272.32712
4.1065335,123.87818
560.9775,402.83807
99.211334,223.1722
593.67944,280.04816
117.90805,152.42836
258.45883,330.7136
361.14578,447.39462
36.1879,272.63815
511.23547,547.25903
222.52898,56.50084
113.681496,416.82208
272.02414,10.014975
179.53938,514.045
451.0214,190.1545
393.34113,87.68048
333.18988,487.15216
477.22464,477.63202
486.77213,380.58282
490.52734,254.58984
579.48145,49.4634
209.77332,143.91454
37.538265,483.16522
